"ID" "State_code" "State" "Municipality" "Latitude" "Longitude" "Year" "Pollutant" "Agency" "Emission_estimate_(Gg)" "Lower_bound_(Gg)" "Upper_bound_(Gg)" "Product" "Industry"
68 "CE" "Ceará" "Quixeré" -5.042383 -38 "2018" "PM10" "EPA" 0.00410745608 0.00410745608 0.00410745608 "Portland cement" "Cement"
69 "CE" "Ceará" "Quixeré" -5.042383 -38 "2019" "PM10" "EPA" 0.00410219208 0.00410219208 0.00410219208 "Portland cement" "Cement"
70 "CE" "Ceará" "Quixeré" -5.042383 -38 "2020" "PM10" "EPA" 0.00443503592 0.00443503592 0.00443503592 "Portland cement" "Cement"
71 "CE" "Ceará" "Quixeré" -5.042383 -38 "2021" "PM10" "EPA" 0.0052087028 0.0052087028 0.0052087028 "Portland cement" "Cement"
72 "CE" "Ceará" "Quixeré" -5.042383 -38 "2022" "PM10" "EPA" 0.00276910610666667 0.00276910610666667 0.00276910610666667 "Portland cement" "Cement"
73 "CE" "Ceará" "Quixeré" -5.042383 -38 "2014" "NOX" "EPA" 0.230863714666667 0.230863714666667 0.230863714666667 "Portland cement" "Cement"
74 "CE" "Ceará" "Quixeré" -5.042383 -38 "2015" "NOX" "EPA" 0.242736414666667 0.242736414666667 0.242736414666667 "Portland cement" "Cement"
75 "CE" "Ceará" "Quixeré" -5.042383 -38 "2016" "NOX" "EPA" 0.230695789333333 0.230695789333333 0.230695789333333 "Portland cement" "Cement"
76 "CE" "Ceará" "Quixeré" -5.042383 -38 "2017" "NOX" "EPA" 0.220051346666667 0.220051346666667 0.220051346666667 "Portland cement" "Cement"
77 "CE" "Ceará" "Quixeré" -5.042383 -38 "2018" "NOX" "EPA" 0.205372804 0.205372804 0.205372804 "Portland cement" "Cement"
78 "CE" "Ceará" "Quixeré" -5.042383 -38 "2019" "NOX" "EPA" 0.205109604 0.205109604 0.205109604 "Portland cement" "Cement"
79 "CE" "Ceará" "Quixeré" -5.042383 -38 "2020" "NOX" "EPA" 0.221751796 0.221751796 0.221751796 "Portland cement" "Cement"
80 "CE" "Ceará" "Quixeré" -5.042383 -38 "2021" "NOX" "EPA" 0.26043514 0.26043514 0.26043514 "Portland cement" "Cement"
81 "CE" "Ceará" "Quixeré" -5.042383 -38 "2022" "NOX" "EPA" 0.138455305333333 0.138455305333333 0.138455305333333 "Portland cement" "Cement"
82 "CE" "Ceará" "Quixeré" -5.042383 -38 "2014" "CO" "EPA" 0.0197883184 0.0197883184 0.0197883184 "Portland cement" "Cement"
