ID	Year	Latitude	Longitude	Production
269	2022	-20,475128	-57	270315
270	2022	-19,004609	-58	270315
271	2014	-19,495304	-44	1060976,938
272	2014	-20,387358	-46	1060976,938
273	2014	-19,685616	-44	1060976,938
274	2014	-19,540672	-44	1060976,938
275	2014	-20,31549	-46	1060976,938
276	2014	-19,810599	-44	1060976,938
277	2014	-20,315384	-46	1060976,938
278	2014	-21,193017	-45	1060976,938
279	2014	-19,627601	-44	1060976,938
280	2014	-19,476597	-42	1060976,938
281	2014	-21,182722	-44	1060976,938
282	2014	-16,680796	-44	1060976,938
283	2014	-19,608196	-44	1060976,938
284	2014	-19,810343	-44	1060976,938
285	2014	-20,899453	-44	1060976,938
286	2014	-20,761326	-47	1060976,938
287	2015	-19,495304	-44	937520,625
288	2015	-20,387358	-46	937520,625
289	2015	-19,685616	-44	937520,625
290	2015	-19,540672	-44	937520,625
291	2015	-20,31549	-46	937520,625
292	2015	-19,810599	-44	937520,625
293	2015	-20,315384	-46	937520,625
294	2015	-21,193017	-45	937520,625
295	2015	-19,627601	-44	937520,625
296	2015	-19,476597	-42	937520,625
297	2015	-21,182722	-44	937520,625
298	2015	-16,680796	-44	937520,625
299	2015	-19,608196	-44	937520,625
300	2015	-19,810343	-44	937520,625
301	2015	-20,899453	-44	937520,625
302	2015	-20,761326	-47	937520,625
303	2016	-19,495304	-44	826616,5625
304	2016	-20,387358	-46	826616,5625
305	2016	-19,685616	-44	826616,5625
306	2016	-19,540672	-44	826616,5625
307	2016	-20,31549	-46	826616,5625
308	2016	-19,810599	-44	826616,5625
309	2016	-20,315384	-46	826616,5625
310	2016	-21,193017	-45	826616,5625
311	2016	-19,627601	-44	826616,5625
312	2016	-19,476597	-42	826616,5625
313	2016	-21,182722	-44	826616,5625
314	2016	-16,680796	-44	826616,5625
315	2016	-19,608196	-44	826616,5625
316	2016	-19,810343	-44	826616,5625
317	2016	-20,899453	-44	826616,5625
318	2016	-20,761326	-47	826616,5625
319	2017	-19,495304	-44	804678,125
320	2017	-20,387358	-46	804678,125
321	2017	-19,685616	-44	804678,125
322	2017	-19,540672	-44	804678,125
323	2017	-20,31549	-46	804678,125
324	2017	-19,810599	-44	804678,125
325	2017	-20,315384	-46	804678,125
326	2017	-21,193017	-45	804678,125
327	2017	-19,627601	-44	804678,125
328	2017	-19,476597	-42	804678,125
329	2017	-21,182722	-44	804678,125
330	2017	-16,680796	-44	804678,125
331	2017	-19,608196	-44	804678,125
332	2017	-19,810343	-44	804678,125
333	2017	-20,899453	-44	804678,125
334	2017	-20,761326	-47	804678,125
335	2018	-19,495304	-44	862279,125
336	2018	-20,387358	-46	862279,125
337	2018	-19,685616	-44	862279,125
338	2018	-19,540672	-44	862279,125
339	2018	-20,31549	-46	862279,125
340	2018	-19,810599	-44	862279,125
341	2018	-20,315384	-46	862279,125
342	2018	-21,193017	-45	862279,125
343	2018	-19,627601	-44	862279,125
344	2018	-19,476597	-42	862279,125
345	2018	-21,182722	-44	862279,125
346	2018	-16,680796	-44	862279,125
347	2018	-19,608196	-44	862279,125
348	2018	-19,810343	-44	862279,125
349	2018	-20,899453	-44	862279,125
350	2018	-20,761326	-47	862279,125
351	2019	-19,495304	-44	995014,625
352	2019	-20,387358	-46	995014,625
353	2019	-19,685616	-44	995014,625
354	2019	-19,540672	-44	995014,625
355	2019	-20,31549	-46	995014,625
356	2019	-19,810599	-44	995014,625
357	2019	-20,315384	-46	995014,625
358	2019	-21,193017	-45	995014,625
359	2019	-19,627601	-44	995014,625
360	2019	-19,476597	-42	995014,625
361	2019	-21,182722	-44	995014,625
362	2019	-16,680796	-44	995014,625
363	2019	-19,608196	-44	995014,625
364	2019	-19,810343	-44	995014,625
365	2019	-20,899453	-44	995014,625
366	2019	-20,761326	-47	995014,625
367	2020	-19,495304	-44	996771,5
368	2020	-20,387358	-46	996771,5
369	2020	-19,685616	-44	996771,5
370	2020	-19,540672	-44	996771,5
371	2020	-20,31549	-46	996771,5
372	2020	-19,810599	-44	996771,5
373	2020	-20,315384	-46	996771,5
374	2020	-21,193017	-45	996771,5
375	2020	-19,627601	-44	996771,5
376	2020	-19,476597	-42	996771,5
377	2020	-21,182722	-44	996771,5
378	2020	-16,680796	-44	996771,5
379	2020	-19,608196	-44	996771,5
380	2020	-19,810343	-44	996771,5
381	2020	-20,899453	-44	996771,5
382	2020	-20,761326	-47	996771,5
383	2021	-19,495304	-44	1044172,375
384	2021	-20,387358	-46	1044172,375
385	2021	-19,685616	-44	1044172,375
386	2021	-19,540672	-44	1044172,375
387	2021	-20,31549	-46	1044172,375
388	2021	-19,810599	-44	1044172,375
389	2021	-20,315384	-46	1044172,375
390	2021	-21,193017	-45	1044172,375
391	2021	-19,627601	-44	1044172,375
392	2021	-19,476597	-42	1044172,375
393	2021	-21,182722	-44	1044172,375
394	2021	-16,680796	-44	1044172,375
395	2021	-19,608196	-44	1044172,375
396	2021	-19,810343	-44	1044172,375
397	2021	-20,899453	-44	1044172,375
398	2021	-20,761326	-47	1044172,375
399	2022	-19,495304	-44	577745,9375
400	2022	-20,387358	-46	577745,9375
401	2022	-19,685616	-44	577745,9375
402	2022	-19,540672	-44	577745,9375
403	2022	-20,31549	-46	577745,9375
404	2022	-19,810599	-44	577745,9375
405	2022	-20,315384	-46	577745,9375
406	2022	-21,193017	-45	577745,9375
407	2022	-19,627601	-44	577745,9375
408	2022	-19,476597	-42	577745,9375
