ID	Year	Latitude	Longitude	Production
353	2002	-22,89	-43,24	98212,14
354	2003	-22,89	-43,24	110574,75
355	2004	-22,89	-43,24	107917,42
356	2005	-22,89	-43,24	48977,89
357	2006	-22,89	-43,24	0
358	2007	-22,89	-43,24	0
359	2008	-22,89	-43,24	0
360	2009	-22,89	-43,24	0
361	2010	-22,89	-43,24	45951,1
362	2011	-22,89	-43,24	76120,2
363	2012	-22,89	-43,24	78969,28
364	2013	-22,89	-43,24	2086,24
365	2014	-22,89	-43,24	20433,4
366	2015	-22,89	-43,24	51151,62
367	2016	-22,89	-43,24	59934,16
368	2017	-22,89	-43,24	30836,26
369	2018	-22,89	-43,24	25796,68
370	2019	-22,89	-43,24	58737,64
371	2020	-22,89	-43,24	68101,02
372	2021	-22,89	-43,24	64276,81
373	2022	-22,89	-43,24	71401,2
374	2023	-22,89	-43,24	9707,36
375	1990	-22,89	-43,24	72459,79
376	1991	-22,89	-43,24	66176,76
377	1992	-22,89	-43,24	75812,62
378	1993	-22,89	-43,24	74800,31
379	1994	-22,89	-43,24	74610,38
380	1995	-22,89	-43,24	75528,57
381	1996	-22,89	-43,24	75549,37
382	1997	-22,89	-43,24	73804,9
383	1998	-22,89	-43,24	70878,08
384	1999	-22,89	-43,24	84336,59
385	2000	-22,89	-43,24	88755,68
386	2001	-22,89	-43,24	106416,96
387	2002	-22,89	-43,24	98212,14
388	2003	-22,89	-43,24	110574,75
389	2004	-22,89	-43,24	107917,42
390	2005	-22,89	-43,24	48977,89
391	2006	-22,89	-43,24	0
392	2007	-22,89	-43,24	0
393	2008	-22,89	-43,24	0
394	2009	-22,89	-43,24	0
395	2010	-22,89	-43,24	45951,1
396	2011	-22,89	-43,24	76120,2
397	2012	-22,89	-43,24	78969,28
398	2013	-22,89	-43,24	2086,24
399	2014	-22,89	-43,24	20433,4
400	2015	-22,89	-43,24	51151,62
401	2016	-22,89	-43,24	59934,16
402	2017	-22,89	-43,24	30836,26
403	2018	-22,89	-43,24	25796,68
404	2019	-22,89	-43,24	58737,64
405	2020	-22,89	-43,24	68101,02
406	2021	-22,89	-43,24	64276,81
407	2022	-22,89	-43,24	71401,2
408	2023	-22,89	-43,24	9707,36
409	1990	-23,64	-46,48	376257,56
410	1991	-23,64	-46,48	407865,92
411	1992	-23,64	-46,48	447681,64
412	1993	-23,64	-46,48	541290,4
413	1994	-23,64	-46,48	513903,6
414	1995	-23,64	-46,48	616702,8
415	1996	-23,64	-46,48	627757,2
416	1997	-23,64	-46,48	722506,4
417	1998	-23,64	-46,48	733648,44
418	1999	-23,64	-46,48	571065,04
419	2000	-23,64	-46,48	658050,68
420	2001	-23,64	-46,48	751689,12
421	2002	-23,64	-46,48	777583,24
422	2003	-23,64	-46,48	715128,4
423	2004	-23,64	-46,48	756626,92
424	2005	-23,64	-46,48	584727,08
425	2006	-23,64	-46,48	657541,64
426	2007	-23,64	-46,48	676215,12
427	2008	-23,64	-46,48	735616
428	2009	-23,64	-46,48	677576,48
429	2010	-23,64	-46,48	592950,68
430	2011	-23,64	-46,48	697821,88
431	2012	-23,64	-46,48	867882,68
432	2013	-23,64	-46,48	868582,96
433	2014	-23,64	-46,48	884811,76
434	2015	-23,64	-46,48	658747,88
435	2016	-23,64	-46,48	882637
436	2017	-23,64	-46,48	817450,2
437	2018	-23,64	-46,48	807444,68
438	2019	-23,64	-46,48	807967,72
439	2020	-23,64	-46,48	631917,44
440	2021	-23,64	-46,48	878825,92
441	2022	-23,64	-46,48	945568,12
442	2023	-23,64	-46,48	128355,36
443	1990	-23,64	-46,48	497197,49
444	1991	-23,64	-46,48	538965,68
445	1992	-23,64	-46,48	591579,31
446	1993	-23,64	-46,48	715276,6
447	1994	-23,64	-46,48	679086,9
448	1995	-23,64	-46,48	814928,7
449	1996	-23,64	-46,48	829536,3
450	1997	-23,64	-46,48	954740,6
451	1998	-23,64	-46,48	969464,01
452	1999	-23,64	-46,48	754621,66
453	2000	-23,64	-46,48	869566,97
454	2001	-23,64	-46,48	993303,48
455	2002	-23,64	-46,48	1027520,71
456	2003	-23,64	-46,48	944991,1
457	2004	-23,64	-46,48	999828,43
458	2005	-23,64	-46,48	772675,07
459	2006	-23,64	-46,48	868894,31
460	2007	-23,64	-46,48	893569,98
461	2008	-23,64	-46,48	972064
462	2009	-23,64	-46,48	895368,92
463	2010	-23,64	-46,48	783541,97
464	2011	-23,64	-46,48	922121,77
465	2012	-23,64	-46,48	1146844,97
466	2013	-23,64	-46,48	1147770,34
467	2014	-23,64	-46,48	1169215,54
468	2015	-23,64	-46,48	870488,27
469	2016	-23,64	-46,48	1166341,75
470	2017	-23,64	-46,48	1080202,05
471	2018	-23,64	-46,48	1066980,47
472	2019	-23,64	-46,48	1067671,63
473	2020	-23,64	-46,48	835033,76
474	2021	-23,64	-46,48	1161305,68
475	2022	-23,64	-46,48	1249500,73
476	2023	-23,64	-46,48	169612,44
477	1990	-23,64	-46,48	174691,01
478	1991	-23,64	-46,48	189366,32
479	1992	-23,64	-46,48	207852,19
480	1993	-23,64	-46,48	251313,4
481	1994	-23,64	-46,48	238598,1
482	1995	-23,64	-46,48	286326,3
483	1996	-23,64	-46,48	291458,7
484	1997	-23,64	-46,48	335449,4
485	1998	-23,64	-46,48	340622,49
486	1999	-23,64	-46,48	265137,34
487	2000	-23,64	-46,48	305523,53
488	2001	-23,64	-46,48	348998,52
489	2002	-23,64	-46,48	361020,79
490	2003	-23,64	-46,48	332023,9
491	2004	-23,64	-46,48	351291,07
492	2005	-23,64	-46,48	271480,43
493	2006	-23,64	-46,48	305287,19
494	2007	-23,64	-46,48	313957,02
495	2008	-23,64	-46,48	341536
496	2009	-23,64	-46,48	314589,08
497	2010	-23,64	-46,48	275298,53
498	2011	-23,64	-46,48	323988,73
499	2012	-23,64	-46,48	402945,53
500	2013	-23,64	-46,48	403270,66
501	2014	-23,64	-46,48	410805,46
502	2015	-23,64	-46,48	305847,23
503	2016	-23,64	-46,48	409795,75
504	2017	-23,64	-46,48	379530,45
505	2018	-23,64	-46,48	374885,03
506	2019	-23,64	-46,48	375127,87
507	2020	-23,64	-46,48	293390,24
508	2021	-23,64	-46,48	408026,32
509	2022	-23,64	-46,48	439013,77
510	2023	-23,64	-46,48	59593,56
511	1990	-23,64	-46,48	174691,01
512	1991	-23,64	-46,48	189366,32
513	1992	-23,64	-46,48	207852,19
514	1993	-23,64	-46,48	251313,4
515	1994	-23,64	-46,48	238598,1
516	1995	-23,64	-46,48	286326,3
517	1996	-23,64	-46,48	291458,7
518	1997	-23,64	-46,48	335449,4
519	1998	-23,64	-46,48	340622,49
520	1999	-23,64	-46,48	265137,34
521	2000	-23,64	-46,48	305523,53
522	2001	-23,64	-46,48	348998,52
523	2002	-23,64	-46,48	361020,79
524	2003	-23,64	-46,48	332023,9
525	2004	-23,64	-46,48	351291,07
526	2005	-23,64	-46,48	271480,43
527	2006	-23,64	-46,48	305287,19
528	2007	-23,64	-46,48	313957,02
529	2008	-23,64	-46,48	341536
530	2009	-23,64	-46,48	314589,08
531	2010	-23,64	-46,48	275298,53
532	2011	-23,64	-46,48	323988,73
533	2012	-23,64	-46,48	402945,53
534	2013	-23,64	-46,48	403270,66
535	2014	-23,64	-46,48	410805,46
536	2015	-23,64	-46,48	305847,23
537	2016	-23,64	-46,48	409795,75
538	2017	-23,64	-46,48	379530,45
539	2018	-23,64	-46,48	374885,03
540	2019	-23,64	-46,48	375127,87
541	2020	-23,64	-46,48	293390,24
542	2021	-23,64	-46,48	408026,32
543	2022	-23,64	-46,48	439013,77
544	2023	-23,64	-46,48	59593,56
545	1990	-22,72	-43,27	2826849,76
546	1991	-22,72	-43,27	2931664,4
547	1992	-22,72	-43,27	3088831,2
548	1993	-22,72	-43,27	2782064,6
549	1994	-22,72	-43,27	2636933,32
550	1995	-22,72	-43,27	2284976,4
551	1996	-22,72	-43,27	3202720,36
552	1997	-22,72	-43,27	2761728,2
553	1998	-22,72	-43,27	3372322,52
554	1999	-22,72	-43,27	3413579,96
555	2000	-22,72	-43,27	3029907,16
556	2001	-22,72	-43,27	3124277,52
557	2002	-22,72	-43,27	3147234,44
558	2003	-22,72	-43,27	3198207,6
559	2004	-22,72	-43,27	3563289,8
560	2005	-22,72	-43,27	3478723,92
561	2006	-22,72	-43,27	3567869,2
562	2007	-22,72	-43,27	3422276,2
563	2008	-22,72	-43,27	3625424,32
564	2009	-22,72	-43,27	3400096,56
565	2010	-22,72	-43,27	3605144,48
566	2011	-22,72	-43,27	3533748,12
567	2012	-22,72	-43,27	3703379,4
568	2013	-22,72	-43,27	3960077,8
569	2014	-22,72	-43,27	3867666,6
570	2015	-22,72	-43,27	3263968,96
571	2016	-22,72	-43,27	3175368,28
572	2017	-22,72	-43,27	2919670,88
573	2018	-22,72	-43,27	3125973,76
574	2019	-22,72	-43,27	3122828,24
575	2020	-22,72	-43,27	2966623,24
576	2021	-22,72	-43,27	3068772,84
577	2022	-22,72	-43,27	3372102,72
578	2023	-22,72	-43,27	604434,04
579	1990	-22,72	-43,27	3735480,04
580	1991	-22,72	-43,27	3873985,1
