ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
62	Produção cimento	Bahia	4	Campo Formoso	2020	INTERCEMENT, Campo Formoso - BA	-10,518571	-40	339137,0833	t clínquer
63	Produção cimento	Bahia	4	Ituaçu	2020	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	339137,0833	t clínquer
64	Produção cimento	Bahia	4	Candeias	2020	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	339137,0833	t clínquer
65	Produção cimento	Bahia	4	Brumado	2021	INTERCEMENT, Brumado - BA	-14,199543	-42	345100,8333	t clínquer
66	Produção cimento	Bahia	4	Campo Formoso	2021	INTERCEMENT, Campo Formoso - BA	-10,518571	-40	345100,8333	t clínquer
67	Produção cimento	Bahia	4	Ituaçu	2021	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	345100,8333	t clínquer
68	Produção cimento	Bahia	4	Candeias	2021	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	345100,8333	t clínquer
69	Produção cimento	Bahia	4	Brumado	2022	INTERCEMENT, Brumado - BA	-14,199543	-42	198735,1111	t clínquer
70	Produção cimento	Bahia	4	Campo Formoso	2022	INTERCEMENT, Campo Formoso - BA	-10,518571	-40	198735,1111	t clínquer
71	Produção cimento	Bahia	4	Ituaçu	2022	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	198735,1111	t clínquer
72	Produção cimento	Bahia	4	Candeias	2022	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	198735,1111	t clínquer
73	Produção cimento	Ceará	5	Pecém	2014	APODI, Pecém  - CE	-3,666527	-39	549675,5111	t clínquer
74	Produção cimento	Ceará	5	Quixeré	2014	APODI ,Quixeré - CE	-5,042383	-38	549675,5111	t clínquer
75	Produção cimento	Ceará	5	Barbalha	2014	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	549675,5111	t clínquer
76	Produção cimento	Ceará	5	Pecém	2014	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	549675,5111	t clínquer
77	Produção cimento	Ceará	5	Sobral	2014	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	549675,5111	t clínquer
78	Produção cimento	Ceará	5	Pecém	2015	APODI, Pecém  - CE	-3,666527	-39	577943,8444	t clínquer
79	Produção cimento	Ceará	5	Quixeré	2015	APODI ,Quixeré - CE	-5,042383	-38	577943,8444	t clínquer
80	Produção cimento	Ceará	5	Barbalha	2015	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	577943,8444	t clínquer
